ID,Trace of Learning,Learning Time
170.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2]","[76, 41, 94, 38, 6, 49, 84, 23, 21, 99, 63, 44]"
171.0,"[5, 18, 7, 12, 13, 19, 3, 24, 6, 17]","[96, 53, 26, 74, 44, 37, 19, 6, 84, 98]"
172.0,"[12, 5, 18, 13, 7, 24, 19, 3]","[75, 95, 51, 43, 25, 9, 36, 18]"
173.0,"[5, 18, 7, 12, 13, 19, 24, 3, 17, 9, 6, 2]","[93, 53, 26, 77, 43, 39, 7, 19, 98, 65, 80, 43]"
174.0,"[12, 13, 24, 5, 19, 18, 7]","[74, 41, 6, 94, 39, 53, 26]"
175.0,"[5, 18, 12, 13, 7, 24, 19, 6, 3, 17, 9]","[94, 52, 77, 42, 24, 9, 39, 81, 21, 98, 63]"
176.0,"[12, 5, 18, 7, 13, 19, 24, 6, 3, 17, 9, 2, 4, 20, 21, 8, 1, 14, 23, 11]","[76, 94, 49, 23, 44, 39, 5, 83, 21, 98, 62, 44, 74, 14, 43, 14, 81, 56, 67, 34]"
177.0,"[12, 5, 18, 7, 13, 19, 3, 17, 9, 24, 6, 2, 4]","[74, 95, 50, 25, 45, 40, 19, 96, 64, 6, 83, 47, 75]"
178.0,"[12, 5, 18, 7, 13, 24]","[76, 93, 51, 23, 45, 9]"
179.0,"[12, 5, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 20, 8, 1, 23, 16]","[78, 95, 52, 27, 41, 8, 81, 40, 21, 100, 62, 44, 78, 44, 14, 16, 80, 69, 85]"
180.0,"[5, 12, 13, 18, 24, 7, 6, 19, 3]","[95, 75, 41, 51, 9, 27, 82, 40, 20]"
181.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8]","[77, 42, 92, 36, 6, 50, 82, 26, 19, 97, 64, 44, 78, 10, 45, 14]"
182.0,"[5, 18, 12, 13, 19, 7, 24, 6, 3, 17, 9, 2]","[92, 53, 74, 45, 39, 25, 6, 80, 22, 98, 64, 45]"
183.0,"[12, 5, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4, 20, 1, 21]","[75, 94, 45, 36, 51, 7, 82, 26, 21, 100, 61, 45, 76, 10, 79, 43]"
184.0,"[12, 13, 5, 18, 24, 6, 7, 19, 3, 17, 9, 2, 4, 20, 21]","[75, 43, 92, 52, 9, 83, 24, 40, 18, 99, 62, 43, 74, 14, 46]"
185.0,"[12, 13, 24, 5, 18, 7, 6, 19, 3, 17, 9, 2, 4, 20]","[75, 45, 7, 92, 52, 26, 80, 36, 21, 97, 61, 46, 77, 12]"
186.0,"[12, 5, 13, 18, 7, 24, 6, 19, 3]","[78, 95, 42, 51, 24, 9, 81, 38, 19]"
187.0,"[5, 12, 13, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1, 16, 23]","[95, 78, 43, 39, 7, 50, 81, 25, 18, 96, 64, 45, 77, 43, 13, 11, 80, 85, 68]"
188.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21]","[95, 75, 50, 23, 43, 7, 81, 38, 18, 99, 61, 47, 76, 45]"
189.0,"[12, 13, 5, 19, 24]","[77, 45, 92, 39, 6]"
190.0,"[12, 13, 5, 18, 19, 7, 24, 6, 3, 17, 9]","[75, 42, 93, 53, 36, 27, 5, 83, 18, 100, 64]"
191.0,"[5, 12, 13, 18, 7, 24, 19, 6, 3, 17, 9, 2, 4, 20, 1, 21, 8]","[96, 74, 44, 53, 25, 6, 38, 83, 18, 100, 63, 47, 74, 14, 79, 42, 12]"
192.0,"[12, 13, 5, 19, 18, 24, 7, 6, 3]","[76, 43, 95, 40, 51, 5, 27, 83, 18]"
193.0,"[12, 13, 5, 19, 24]","[75, 41, 92, 37, 9]"
194.0,"[12, 5, 13, 18, 7, 24, 19, 3, 17, 9, 6, 2, 4, 20, 1, 21, 14, 8, 16, 23]","[78, 96, 44, 52, 25, 8, 36, 21, 98, 64, 81, 46, 74, 10, 81, 44, 60, 13, 86, 66]"
195.0,"[12, 5, 18, 7, 13, 19, 3, 17, 9, 24, 6, 2]","[77, 95, 51, 27, 45, 40, 22, 100, 61, 8, 83, 43]"
196.0,"[12, 13, 5, 18, 19, 7, 24, 6, 3, 17, 9, 2]","[77, 43, 94, 50, 37, 24, 7, 81, 21, 99, 64, 44]"
197.0,"[5, 18, 12, 13, 7, 19, 3, 17, 9, 24, 6, 2, 4, 20, 21]","[92, 50, 76, 43, 26, 36, 20, 96, 61, 9, 83, 47, 76, 14, 43]"
198.0,"[5, 18, 7, 12, 13, 19]","[94, 50, 25, 78, 42, 37]"
199.0,"[5, 18, 12, 13, 7, 19]","[96, 53, 74, 41, 27, 36]"
200.0,"[12, 13, 5, 18, 7, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16, 10]","[76, 43, 95, 52, 27, 6, 37, 81, 22, 97, 62, 44, 75, 42, 12, 11, 81, 66, 86, 20]"
201.0,"[12, 5, 13, 19, 24, 18, 7, 3, 17, 6, 9, 2]","[74, 93, 45, 37, 7, 53, 27, 20, 97, 83, 64, 47]"
202.0,"[12, 13, 24, 5, 19, 18, 7, 3, 17, 6, 9, 2, 4]","[74, 45, 8, 93, 37, 50, 27, 20, 100, 81, 63, 43, 76]"
203.0,"[12, 5, 13, 18, 24, 7, 6, 19, 3, 17, 9, 2]","[75, 95, 41, 51, 6, 26, 83, 39, 19, 100, 61, 44]"
204.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17]","[93, 75, 50, 25, 42, 5, 80, 36, 21, 100]"
205.0,"[5, 12, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4]","[92, 77, 41, 36, 53, 9, 81, 26, 21, 96, 63, 43, 74]"
206.0,"[5, 12, 13, 24, 18, 7, 6, 19, 3]","[92, 75, 45, 5, 51, 23, 81, 36, 18]"
207.0,"[5, 12, 18, 13, 19, 24, 6]","[92, 74, 52, 41, 38, 5, 82]"
208.0,"[5, 12, 13, 19, 18, 24, 7, 3, 6, 17, 9, 2, 4, 21]","[94, 75, 41, 37, 50, 8, 27, 22, 83, 100, 63, 47, 78, 42]"
209.0,"[12, 13, 24, 5, 18, 6, 7, 19, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8]","[78, 42, 5, 93, 49, 84, 23, 39, 22, 97, 63, 44, 74, 14, 45, 80, 58, 16]"
210.0,"[12, 5, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20]","[75, 92, 42, 8, 37, 53, 26, 84, 18, 99, 61, 45, 75, 12]"
211.0,"[5, 12, 18, 7, 13, 19, 24, 3, 17, 6, 9, 2, 4, 21, 8, 20, 1, 14, 16]","[92, 75, 53, 23, 43, 39, 9, 22, 100, 83, 62, 47, 76, 46, 12, 10, 78, 56, 88]"
212.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8, 1, 14, 23]","[76, 92, 42, 6, 40, 52, 82, 24, 22, 96, 63, 46, 75, 12, 46, 16, 79, 59, 65]"
213.0,"[12, 5, 18, 7, 13, 24, 6, 19]","[74, 95, 50, 24, 41, 8, 80, 40]"
214.0,"[5, 12, 18, 7, 13]","[93, 78, 50, 27, 42]"
215.0,"[12, 5, 18, 13, 7]","[74, 92, 53, 41, 23]"
216.0,"[5, 18, 7, 12, 13, 19, 24]","[93, 52, 26, 78, 44, 40, 9]"
217.0,"[12, 5, 13, 18, 19, 7, 3, 24, 17, 9, 6, 2, 4, 21, 8, 20, 1, 23, 14, 16]","[75, 94, 41, 49, 37, 27, 22, 7, 98, 64, 84, 44, 78, 45, 16, 10, 82, 68, 59, 87]"
218.0,"[12, 13, 5, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 21]","[74, 45, 94, 6, 36, 50, 27, 81, 18, 97, 65, 43, 76, 46]"
219.0,"[12, 13, 5, 18, 24]","[76, 44, 94, 49, 6]"
220.0,"[5, 18, 7, 12, 13]","[92, 50, 26, 76, 44]"
221.0,"[5, 12, 13, 24, 18, 19, 7, 3, 17, 9, 6, 2, 4]","[93, 76, 41, 5, 51, 36, 23, 19, 98, 62, 84, 44, 74]"
222.0,"[12, 5, 18, 13, 19, 24, 7]","[76, 93, 50, 43, 39, 9, 27]"
223.0,"[12, 13, 24, 5, 19, 18, 7, 3, 6, 17, 9]","[74, 44, 5, 95, 40, 49, 27, 22, 80, 100, 63]"
224.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 21]","[74, 45, 95, 39, 5, 51, 84, 26, 22, 99, 65, 44, 75, 46]"
225.0,"[12, 5, 13, 18, 19, 7, 24, 6, 3, 17, 9, 2]","[78, 92, 45, 49, 40, 24, 9, 82, 22, 96, 62, 45]"
226.0,"[5, 12, 18, 7, 13, 19, 3, 17, 24, 9, 6, 2, 4]","[95, 76, 49, 23, 45, 37, 18, 96, 8, 61, 83, 43, 78]"
227.0,"[12, 13, 5, 19, 24, 18, 7, 3, 17, 9, 6, 2, 4, 21]","[77, 41, 93, 38, 5, 50, 25, 22, 96, 61, 84, 46, 74, 46]"
228.0,"[12, 13, 24, 5, 18, 19]","[75, 41, 5, 95, 51, 36]"
229.0,"[12, 5, 18, 13, 19, 24, 6]","[77, 93, 49, 41, 40, 8, 82]"
230.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2]","[78, 43, 92, 7, 36, 51, 83, 25, 19, 100, 65, 45]"
231.0,"[5, 18, 12, 13, 19, 24, 6, 7, 3, 17, 9, 2, 4, 20, 21]","[93, 53, 78, 41, 37, 9, 80, 26, 18, 96, 62, 43, 75, 12, 43]"
232.0,"[5, 12, 13, 24, 18, 6]","[96, 74, 45, 6, 53, 80]"
233.0,"[5, 12, 13, 24, 18, 19, 7, 3]","[96, 74, 45, 9, 51, 38, 23, 19]"
234.0,"[5, 18, 12, 7, 13, 19, 24, 6, 3, 17, 9]","[93, 50, 76, 27, 42, 39, 6, 80, 20, 99, 61]"
235.0,"[5, 12, 13, 19, 24, 18]","[96, 74, 43, 40, 8, 51]"
236.0,"[12, 13, 5, 19, 18, 24, 6, 7, 3, 17]","[74, 43, 96, 37, 53, 8, 84, 27, 19, 98]"
237.0,"[12, 5, 13, 24, 18, 7, 19, 3, 17, 6, 9, 2, 4, 21, 8, 20, 1, 23]","[77, 96, 44, 8, 53, 24, 38, 20, 100, 83, 63, 47, 77, 44, 14, 10, 82, 65]"
238.0,"[5, 18, 7, 12, 13, 19, 3, 17, 24, 6, 9]","[94, 51, 25, 78, 41, 39, 22, 100, 7, 84, 64]"
239.0,"[12, 5, 18, 13, 19, 7, 3, 24, 17, 6, 9, 2, 4, 21, 8, 20, 1, 23]","[74, 93, 50, 42, 38, 24, 19, 6, 97, 80, 65, 43, 76, 46, 15, 13, 81, 65]"
240.0,"[5, 12, 13, 18, 24, 19, 6, 7, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 23, 16]","[95, 74, 44, 51, 6, 40, 82, 26, 20, 98, 61, 43, 75, 14, 79, 60, 44, 16, 69, 87]"
241.0,"[12, 5, 18, 13, 7, 19, 3, 17, 9]","[78, 92, 53, 41, 23, 36, 20, 100, 61]"
242.0,"[12, 13, 5, 19, 24, 18, 7, 3, 6, 17, 9, 2]","[76, 44, 95, 38, 9, 51, 24, 20, 82, 97, 65, 44]"
243.0,"[12, 5, 18, 13, 19, 24, 6, 7, 3, 17, 9, 2, 4, 21, 20]","[76, 93, 52, 41, 39, 8, 83, 23, 22, 98, 64, 47, 77, 44, 13]"
244.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9, 2, 4, 21]","[77, 43, 5, 93, 39, 53, 80, 24, 21, 96, 64, 43, 78, 45]"
245.0,"[12, 13, 5, 18, 19, 7, 24, 3, 6, 17, 9, 2, 4, 21, 8]","[77, 44, 94, 50, 39, 25, 8, 22, 80, 97, 61, 47, 78, 44, 15]"
246.0,"[5, 12, 18, 13, 19, 7, 3, 17, 9, 24]","[96, 76, 53, 45, 38, 27, 21, 98, 62, 7]"
247.0,"[5, 12, 13, 18, 24, 19, 6, 7, 3, 17]","[92, 75, 42, 49, 9, 40, 81, 27, 20, 96]"
248.0,"[5, 12, 18, 13, 24, 7, 6, 19, 3, 17, 9]","[93, 74, 50, 41, 5, 24, 84, 39, 20, 96, 61]"
249.0,"[5, 18, 7, 12, 13, 19, 3, 17, 24, 6, 9, 2]","[94, 49, 23, 78, 42, 38, 20, 98, 6, 80, 65, 46]"
250.0,"[12, 5, 18, 7, 13, 19, 24, 3, 6, 17, 9, 2, 4, 21, 20]","[75, 95, 52, 27, 43, 37, 9, 22, 80, 98, 63, 46, 75, 45, 14]"
251.0,"[5, 18, 12, 13, 19, 7, 24, 3, 17, 6, 9, 2]","[92, 51, 75, 42, 36, 27, 6, 22, 96, 81, 64, 43]"
252.0,"[12, 5, 13, 19, 18, 7, 3, 17, 24, 9, 6, 2]","[75, 96, 45, 40, 49, 23, 19, 100, 9, 62, 82, 44]"
253.0,"[5, 12, 13, 18, 24, 7, 19, 3, 17, 6, 9, 2, 4, 21, 20, 8, 1, 23]","[93, 77, 43, 53, 6, 27, 37, 19, 96, 82, 65, 43, 78, 44, 11, 12, 78, 68]"
254.0,"[5, 18, 12, 13, 7, 19, 3, 17, 9, 24, 6, 2, 4, 20]","[92, 52, 77, 41, 25, 36, 18, 96, 62, 7, 80, 46, 76, 11]"
255.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4]","[74, 45, 95, 36, 5, 53, 83, 23, 22, 96, 61, 46, 74]"
256.0,"[5, 18, 7, 12, 13, 19, 3, 17, 9, 24, 6, 2, 4, 20, 1]","[93, 50, 25, 78, 44, 37, 18, 100, 63, 9, 81, 43, 75, 11, 79]"
257.0,"[5, 18, 7, 12, 13, 19]","[93, 49, 26, 75, 41, 37]"
258.0,"[12, 5, 13, 24, 18, 7, 6, 19, 3, 17, 9, 2, 4, 20, 21, 1, 8, 16]","[74, 92, 42, 6, 49, 27, 81, 37, 22, 100, 61, 44, 74, 13, 46, 80, 13, 85]"
259.0,"[12, 5, 13, 18, 24, 6, 7, 19, 3, 17, 9, 2]","[76, 96, 45, 51, 8, 84, 25, 40, 21, 99, 61, 45]"
260.0,"[12, 13, 5, 18, 19, 7, 24, 3, 17, 9, 6, 2, 4, 20, 1]","[78, 42, 92, 52, 40, 27, 9, 22, 98, 61, 84, 47, 77, 12, 80]"
261.0,"[12, 5, 18, 13, 7, 24, 6, 19, 3, 17, 9, 2, 4, 20, 21, 1, 14]","[76, 92, 51, 45, 26, 7, 82, 36, 22, 96, 63, 45, 75, 12, 43, 81, 60]"
262.0,"[5, 18, 12, 13, 24, 7, 6, 19, 3, 17, 9, 2, 4, 20, 1, 21, 8, 14, 23, 11]","[95, 51, 76, 44, 6, 25, 84, 37, 20, 100, 63, 47, 78, 13, 81, 44, 16, 57, 67, 34]"
263.0,"[12, 13, 24, 5, 18, 19, 7, 6, 3, 17, 9, 2, 4, 20, 21, 1, 8, 14, 16, 10]","[78, 42, 6, 96, 52, 40, 26, 82, 18, 99, 64, 43, 75, 13, 45, 82, 15, 56, 84, 24]"
264.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[92, 78, 45, 7, 37, 50, 82, 25, 19, 96, 65, 46, 74]"
265.0,"[12, 5, 13, 24, 19]","[77, 93, 41, 5, 37]"
266.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6, 17]","[96, 51, 24, 75, 41, 5, 38, 20, 80, 99]"
267.0,"[12, 13, 5, 24, 19]","[77, 41, 95, 8, 40]"
268.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8, 1]","[78, 41, 95, 39, 6, 50, 84, 24, 20, 98, 61, 43, 77, 14, 46, 16, 79]"
269.0,"[5, 18, 7, 12, 13, 19, 24]","[95, 50, 25, 74, 45, 37, 6]"
270.0,"[12, 13, 5, 18, 19, 24, 6, 7, 3, 17, 9]","[74, 43, 94, 49, 37, 6, 83, 27, 22, 98, 63]"
271.0,"[12, 5, 18, 13, 24, 19, 6, 7, 3, 17, 9, 2, 4, 21, 20, 8, 1, 16, 14]","[76, 95, 52, 45, 5, 39, 80, 25, 20, 96, 64, 47, 77, 44, 13, 13, 78, 84, 58]"
272.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9, 2, 4, 21, 20, 8, 1]","[93, 53, 25, 77, 43, 38, 8, 83, 20, 97, 61, 46, 77, 46, 10, 16, 79]"
273.0,"[12, 5, 13, 19, 18, 7, 24, 6, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8]","[76, 95, 45, 36, 52, 24, 5, 82, 19, 96, 62, 47, 77, 14, 45, 79, 58, 14]"
274.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 23]","[94, 49, 24, 76, 45, 40, 7, 82, 22, 96, 65, 46, 78, 14, 81, 60, 46, 16, 69]"
275.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9]","[74, 45, 8, 96, 37, 50, 81, 24, 18, 100, 63]"
276.0,"[12, 13, 5, 18, 19]","[78, 45, 92, 49, 40]"
277.0,"[5, 12, 18, 7, 13]","[96, 78, 50, 27, 42]"
278.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6, 17, 9, 2, 4]","[93, 51, 23, 78, 41, 7, 38, 18, 83, 100, 63, 47, 78]"
279.0,"[12, 5, 18, 13, 19, 24, 6, 7]","[78, 95, 52, 42, 39, 6, 81, 26]"
280.0,"[5, 18, 7, 12, 13, 19, 3, 17, 9, 24]","[93, 51, 27, 78, 42, 36, 20, 97, 65, 5]"
281.0,"[12, 13, 5, 18, 7, 24, 19, 3]","[75, 41, 92, 50, 27, 8, 37, 21]"
282.0,"[5, 12, 18, 13, 7, 24, 6, 19, 3, 17, 9, 2]","[92, 75, 52, 42, 27, 5, 84, 39, 20, 97, 64, 45]"
283.0,"[12, 5, 18, 13, 19, 24]","[74, 93, 51, 42, 40, 6]"
284.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17]","[77, 95, 42, 6, 38, 49, 81, 27, 22, 100]"
285.0,"[12, 5, 18, 13, 7, 24, 19, 6, 3, 17, 9, 2, 4, 20, 21, 8, 1, 14, 23]","[76, 93, 50, 42, 27, 9, 37, 83, 18, 97, 62, 45, 78, 10, 43, 15, 81, 59, 67]"
286.0,"[12, 13, 5, 24, 18, 7, 6, 19, 3, 17, 9, 2, 4]","[77, 44, 92, 5, 52, 24, 80, 36, 22, 99, 62, 43, 75]"
287.0,"[5, 18, 7, 12, 13, 24, 19, 6, 3, 17, 9, 2]","[94, 53, 23, 76, 45, 8, 36, 82, 19, 97, 64, 44]"
288.0,"[5, 12, 13, 19, 24, 18, 7, 3, 17, 9, 6, 2, 4, 21, 20, 1, 8, 16]","[94, 75, 45, 40, 5, 53, 24, 21, 97, 64, 81, 45, 74, 42, 10, 82, 13, 86]"
289.0,"[5, 18, 12, 7, 13, 19, 24, 3, 6, 17, 9, 2, 4, 21]","[93, 53, 77, 23, 43, 37, 7, 18, 81, 99, 61, 45, 74, 43]"
290.0,"[5, 18, 12, 7, 13, 19, 3, 24, 6, 17, 9, 2, 4, 21]","[92, 53, 75, 23, 43, 38, 19, 7, 83, 99, 61, 47, 77, 43]"
291.0,"[5, 12, 13, 18, 7, 24, 6, 19, 3, 17, 9, 2, 4, 20, 1, 14, 21]","[96, 78, 41, 49, 25, 5, 84, 40, 21, 100, 61, 45, 76, 14, 81, 59, 44]"
292.0,"[5, 12, 13, 18, 19, 7]","[92, 76, 43, 53, 38, 27]"
293.0,"[12, 5, 18, 7, 13, 19, 3, 17, 9]","[75, 96, 53, 25, 42, 39, 19, 96, 62]"
294.0,"[5, 12, 13, 19, 18, 7, 24, 6, 3, 17, 9, 2, 4, 20, 21, 1]","[93, 74, 43, 37, 52, 23, 9, 83, 22, 96, 61, 45, 76, 11, 46, 82]"
295.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9]","[75, 42, 96, 36, 6, 53, 80, 23, 19, 97, 63]"
296.0,"[5, 18, 12, 7, 13, 24, 6, 19, 3, 17, 9, 2]","[94, 49, 74, 24, 45, 6, 82, 36, 20, 97, 65, 43]"
297.0,"[12, 5, 18, 7, 13, 19, 24, 3, 6, 17]","[74, 94, 49, 23, 43, 39, 8, 18, 81, 99]"
298.0,"[5, 12, 18, 13, 24, 7, 6, 19, 3, 17, 9]","[96, 77, 49, 41, 8, 23, 84, 40, 21, 99, 63]"
299.0,"[5, 18, 12, 7, 13]","[94, 49, 77, 27, 42]"
300.0,"[12, 5, 18, 7, 13, 19, 3, 24, 17, 9, 6, 2, 4]","[77, 96, 52, 23, 44, 38, 20, 6, 100, 63, 82, 46, 74]"
301.0,"[12, 5, 18, 13, 24, 7, 6, 19, 3, 17, 9, 2, 4, 21, 20, 8, 1, 23, 14]","[76, 95, 52, 44, 5, 24, 83, 36, 21, 99, 65, 44, 77, 42, 14, 15, 82, 66, 58]"
302.0,"[12, 5, 13, 19, 18]","[77, 95, 42, 37, 53]"
303.0,"[12, 13, 24, 5, 19, 18, 7, 3, 6, 17, 9, 2, 4, 21, 8]","[74, 43, 9, 94, 38, 50, 23, 19, 83, 98, 61, 44, 74, 46, 13]"
304.0,"[5, 12, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2]","[95, 74, 41, 39, 50, 8, 84, 23, 21, 96, 65, 44]"
305.0,"[5, 12, 18, 13, 7, 19, 3, 24, 17, 6]","[93, 75, 49, 41, 27, 37, 20, 7, 100, 83]"
306.0,"[5, 12, 13, 18, 24, 7, 6, 19, 3, 17, 9, 2, 4, 21, 20, 1, 8, 14, 23]","[96, 74, 42, 52, 5, 24, 80, 40, 22, 96, 65, 46, 76, 45, 13, 80, 15, 59, 65]"
307.0,"[12, 5, 18, 13, 19, 24, 6, 7, 3, 17, 9, 2, 4, 21, 20, 8, 1]","[77, 93, 50, 45, 40, 7, 82, 26, 21, 99, 65, 43, 75, 44, 13, 14, 82]"
308.0,"[5, 12, 18, 7, 13, 19, 3, 17, 9, 24, 6, 2, 4, 21, 20]","[95, 78, 49, 27, 42, 37, 21, 99, 61, 6, 83, 47, 76, 43, 12]"
309.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 21, 20, 8, 1]","[75, 93, 42, 7, 38, 52, 84, 23, 22, 97, 65, 43, 75, 46, 14, 13, 81]"
310.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9, 2, 4, 20, 21, 8, 1]","[96, 51, 27, 76, 41, 36, 5, 80, 20, 97, 61, 43, 77, 12, 45, 15, 82]"
311.0,"[12, 13, 5, 18, 7, 19, 24, 3, 17, 9]","[78, 41, 94, 51, 23, 39, 6, 22, 96, 64]"
312.0,"[12, 5, 13, 19, 18, 24, 6, 7]","[78, 92, 41, 37, 50, 9, 81, 24]"
313.0,"[12, 5, 13, 19, 24, 18, 7, 6, 3, 17, 9, 2]","[75, 95, 41, 39, 8, 49, 26, 83, 18, 99, 61, 46]"
314.0,"[5, 12, 13, 24, 18]","[94, 75, 44, 8, 50]"
315.0,"[5, 12, 13, 19, 18, 7, 3, 17, 9, 24]","[92, 74, 41, 36, 51, 25, 20, 100, 63, 7]"
316.0,"[12, 5, 18, 13, 19]","[76, 96, 51, 42, 36]"
317.0,"[12, 13, 24, 5, 18, 7, 19, 6, 3]","[74, 45, 8, 96, 49, 25, 38, 81, 22]"
318.0,"[5, 18, 12, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 20, 21]","[96, 49, 77, 27, 45, 8, 36, 81, 22, 97, 65, 44, 76, 12, 43]"
319.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 8]","[94, 49, 25, 74, 45, 9, 81, 37, 22, 99, 65, 46, 76, 42, 15]"
320.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[76, 44, 92, 7, 40, 51, 81, 25, 21, 99, 65, 45, 76]"
321.0,"[12, 5, 18, 13, 7, 19, 24, 6, 3, 17, 9]","[75, 94, 50, 44, 27, 40, 7, 83, 20, 100, 63]"
322.0,"[12, 13, 24, 5, 19, 18, 7, 3, 17, 6]","[76, 43, 9, 96, 38, 53, 26, 18, 100, 81]"
323.0,"[5, 12, 18, 7, 13, 24, 19, 6, 3, 17, 9]","[95, 74, 51, 24, 41, 6, 40, 84, 21, 98, 65]"
324.0,"[12, 5, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1, 14, 23]","[74, 92, 42, 9, 38, 49, 83, 26, 21, 100, 65, 43, 78, 44, 16, 12, 82, 57, 66]"
325.0,"[5, 18, 7, 12, 13, 19, 3, 17, 9, 24, 6, 2, 4, 21, 8, 20, 1, 14, 23]","[95, 53, 26, 75, 44, 38, 19, 96, 61, 5, 83, 45, 77, 46, 13, 14, 81, 56, 69]"
326.0,"[12, 5, 18, 7, 13]","[75, 94, 51, 26, 43]"
327.0,"[5, 18, 12, 7, 13, 24, 19, 3, 6, 17]","[93, 52, 75, 27, 42, 8, 38, 22, 84, 96]"
328.0,"[12, 13, 24, 5, 18, 19, 6, 7, 3, 17, 9, 2]","[78, 44, 7, 95, 49, 36, 81, 23, 22, 96, 64, 44]"
329.0,"[5, 12, 13, 24, 18, 19, 6, 7, 3]","[92, 75, 43, 6, 51, 36, 84, 24, 21]"
330.0,"[12, 13, 24, 5, 18, 6, 19, 7, 3, 17, 9, 2, 4, 21]","[78, 45, 8, 95, 50, 80, 37, 27, 21, 97, 64, 47, 78, 42]"
331.0,"[5, 12, 13, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4, 21, 20, 1, 8]","[94, 77, 44, 37, 49, 5, 82, 23, 19, 96, 65, 43, 76, 42, 10, 79, 14]"
332.0,"[12, 13, 24, 5, 19, 18, 7, 3, 17, 9]","[74, 41, 8, 93, 36, 53, 25, 19, 100, 61]"
333.0,"[12, 13, 5, 19, 18, 7, 24, 3, 6, 17, 9, 2, 4, 20]","[76, 43, 95, 36, 49, 27, 7, 21, 80, 99, 62, 44, 77, 12]"
334.0,"[12, 5, 18, 13, 24]","[77, 96, 50, 43, 7]"
335.0,"[12, 5, 13, 24, 18, 6, 19, 7, 3, 17, 9, 2, 4, 20, 21]","[78, 92, 45, 8, 49, 80, 38, 23, 22, 99, 63, 44, 76, 10, 46]"
336.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[74, 41, 9, 92, 36, 52, 83, 26, 19, 97, 65, 44, 77]"
337.0,"[5, 18, 7, 12, 13, 19, 3, 24, 6, 17, 9, 2, 4]","[94, 52, 26, 77, 42, 38, 19, 6, 82, 99, 65, 47, 74]"
338.0,"[12, 13, 24, 5, 18, 6, 19, 7, 3, 17, 9, 2, 4, 20]","[77, 44, 7, 94, 50, 82, 40, 25, 19, 99, 62, 47, 74, 14]"
339.0,"[12, 13, 5, 19, 18, 24, 7, 6, 3, 17, 9, 2, 4, 21, 20, 8, 1, 14, 16]","[76, 41, 92, 36, 53, 8, 25, 83, 22, 100, 65, 46, 74, 43, 12, 15, 81, 60, 88]"
340.0,"[12, 5, 13, 18, 19, 7, 24, 3, 6, 17, 9, 2, 4]","[77, 94, 41, 49, 39, 25, 9, 19, 81, 100, 65, 45, 77]"
341.0,"[12, 5, 18, 7, 13, 19, 24]","[76, 95, 52, 27, 41, 40, 5]"
